,cocoId,cocoSplit,cropBox,loss,nsdId,flagged,BOLD5000,shared1000,subject1_rep0,subject1_rep1,subject1_rep2,subject2_rep0,subject2_rep1,subject2_rep2,subject3_rep0,subject3_rep1,subject3_rep2,subject4_rep0,subject4_rep1,subject4_rep2,subject5_rep0,subject5_rep1,subject5_rep2,subject6_rep0,subject6_rep1,subject6_rep2,subject7_rep0,subject7_rep1,subject7_rep2,subject8_rep0,subject8_rep1,subject8_rep2,coco_label,category,supercategory
4423,4442,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,4423,False,True,True,10636,10742,10978,10636,10742,10978,10636,10742,10978,10636,10742,10978,10636,10742,10978,10636,10742,10978,10636,10742,10978,10636,10742,10978,1,person,person
4436,266622,train2017,"(0, 0, 0.0, 0.0)",0.0,4436,False,True,True,6095,17821,27649,6095,17821,27649,6095,17821,27649,6095,17821,27649,6095,17821,27649,6095,17821,27649,6095,17821,27649,6095,17821,27649,47,cup,kitchen
4612,5028,train2017,"(0, 0, 0.125, 0.125)",0.0,4612,False,True,True,20591,22481,29597,20591,22481,29597,20591,22481,29597,20591,22481,29597,20591,22481,29597,20591,22481,29597,20591,22481,29597,20591,22481,29597,1,person,person
4667,267338,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,4667,False,True,True,14421,14714,15885,14421,14714,15885,14421,14714,15885,14421,14714,15885,14421,14714,15885,14421,14714,15885,14421,14714,15885,14421,14714,15885,17,cat,animal
4690,5277,train2017,"(0.16640625, 0.16640625, 0, 0)",0.1,4690,False,True,True,9841,10199,10403,9841,10199,10403,9841,10199,10403,9841,10199,10403,9841,10199,10403,9841,10199,10403,9841,10199,10403,9841,10199,10403,44,bottle,kitchen
4768,267647,train2017,"(0, 0, 0.165625, 0.165625)",0.0,4768,False,True,True,18028,18357,28289,18028,18357,28289,18028,18357,28289,18028,18357,28289,18028,18357,28289,18028,18357,28289,18028,18357,28289,18028,18357,28289,49,knife,kitchen
4786,267699,train2017,"(0, 0, 0.12421875, 0.12421875)",0.0,4786,False,True,True,403,690,822,403,690,822,403,690,822,403,690,822,403,690,822,403,690,822,403,690,822,403,690,822,1,person,person
4835,5684,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,4835,False,True,True,6034,16668,16806,6034,16668,16806,6034,16668,16806,6034,16668,16806,6034,16668,16806,6034,16668,16806,6034,16668,16806,6034,16668,16806,1,person,person
4869,312536,train2017,"(0, 0, 0.125, 0.125)",0.0,4869,False,True,True,13912,22230,23314,13912,22230,23314,13912,22230,23314,13912,22230,23314,13912,22230,23314,13912,22230,23314,13912,22230,23314,13912,22230,23314,60,donut,food
4892,268008,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,4892,False,True,True,8794,13116,13287,8794,13116,13287,8794,13116,13287,8794,13116,13287,8794,13116,13287,8794,13116,13287,8794,13116,13287,8794,13116,13287,1,person,person
4930,268114,train2017,"(0, 0, 0.125, 0.125)",0.0,4930,False,True,True,57,2829,13384,57,2829,13384,57,2829,13384,57,2829,13384,57,2829,13384,57,2829,13384,57,2829,13384,57,2829,13384,9,boat,vehicle
5034,268418,train2017,"(0, 0.334375, 0, 0)",0.0,5034,False,True,True,12611,13357,16691,12611,13357,16691,12611,13357,16691,12611,13357,16691,12611,13357,16691,12611,13357,16691,12611,13357,16691,12611,13357,16691,1,person,person
5106,268659,train2017,"(0.1671875, 0.1671875, 0, 0)",0.0,5106,False,True,True,20083,20132,23062,20083,20132,23062,20083,20132,23062,20083,20132,23062,20083,20132,23062,20083,20132,23062,20083,20132,23062,20083,20132,23062,25,giraffe,animal
5204,6765,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5204,False,True,True,11316,17025,17054,11316,17025,17054,11316,17025,17054,11316,17025,17054,11316,17025,17054,11316,17025,17054,11316,17025,17054,11316,17025,17054,7,train,vehicle
5285,7048,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5285,False,True,True,24154,24294,24712,24154,24294,24712,24154,24294,24712,24154,24294,24712,24154,24294,24712,24154,24294,24712,24154,24294,24712,24154,24294,24712,16,bird,animal
5301,531392,train2017,"(0.1390625, 0.1390625, 0, 0)",0.0,5301,False,True,True,250,14534,20360,250,14534,20360,250,14534,20360,250,14534,20360,250,14534,20360,250,14534,20360,250,14534,20360,250,14534,20360,86,vase,indoor
5338,531515,train2017,"(0, 0.25, 0, 0)",0.0,5338,False,True,True,18776,19484,21797,18776,19484,21797,18776,19484,21797,18776,19484,21797,18776,19484,21797,18776,19484,21797,18776,19484,21797,18776,19484,21797,1,person,person
5427,531828,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5427,False,True,True,27990,27996,29894,27990,27996,29894,27990,27996,29894,27990,27996,29894,27990,27996,29894,27990,27996,29894,27990,27996,29894,27990,27996,29894,1,person,person
5459,11299,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,5459,False,True,True,11131,11423,27329,11131,11423,27329,11131,11423,27329,11131,11423,27329,11131,11423,27329,11131,11423,27329,11131,11423,27329,11131,11423,27329,5,airplane,vehicle
5502,219750,train2017,"(0, 0, 0.125, 0.125)",0.0588235294117647,5502,False,True,True,25640,25833,25869,25640,25833,25869,25640,25833,25869,25640,25833,25869,25640,25833,25869,25640,25833,25869,25640,25833,25869,25640,25833,25869,1,person,person
5542,7932,train2017,"(0, 0.25, 0, 0)",0.0,5542,False,True,True,3767,3905,4210,3767,3905,4210,3767,3905,4210,3767,3905,4210,3767,3905,4210,3767,3905,4210,3767,3905,4210,3767,3905,4210,1,person,person
5574,8027,train2017,"(0.125, 0.125, 0, 0)",0.0,5574,False,True,True,23099,23248,23384,23099,23248,23384,23099,23248,23384,23099,23248,23384,23099,23248,23384,23099,23248,23384,23099,23248,23384,23099,23248,23384,16,bird,animal
5583,8053,train2017,"(0, 0, 0.1546875, 0.1546875)",0.0,5583,False,True,True,13885,14234,17730,13885,14234,17730,13885,14234,17730,13885,14234,17730,13885,14234,17730,13885,14234,17730,13885,14234,17730,13885,14234,17730,1,person,person
5602,270278,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5602,False,True,True,233,799,11357,233,799,11357,233,799,11357,233,799,11357,233,799,11357,233,799,11357,233,799,11357,233,799,11357,13,stop sign,outdoor
5714,532753,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5714,False,True,True,8175,18021,24559,8175,18021,24559,8175,18021,24559,8175,18021,24559,8175,18021,24559,8175,18021,24559,8175,18021,24559,8175,18021,24559,5,airplane,vehicle
5878,533231,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5878,False,True,True,1018,28685,28702,1018,28685,28702,1018,28685,28702,1018,28685,28702,1018,28685,28702,1018,28685,28702,1018,28685,28702,1018,28685,28702,9,boat,vehicle
5890,8998,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5890,False,True,True,28599,28662,28795,28599,28662,28795,28599,28662,28795,28599,28662,28795,28599,28662,28795,28599,28662,28795,28599,28662,28795,28599,28662,28795,85,clock,indoor
6132,1625,train2017,"(0.018, 0.018, 0, 0)",0.0,6132,False,True,True,26894,27019,27060,26894,27019,27060,26894,27019,27060,26894,27019,27060,26894,27019,27060,26894,27019,27060,26894,27019,27060,26894,27019,27060,2,bicycle,vehicle
6199,534259,train2017,"(0, 0, 0.125, 0.125)",0.0,6199,False,True,True,14524,17383,21628,14524,17383,21628,14524,17383,21628,14524,17383,21628,14524,17383,21628,14524,17383,21628,14524,17383,21628,14524,17383,21628,7,train,vehicle
6222,10046,train2017,"(0, 0, 0.125, 0.125)",0.0666666666666666,6222,False,True,True,14285,14573,25467,14285,14573,25467,14285,14573,25467,14285,14573,25467,14285,14573,25467,14285,14573,25467,14285,14573,25467,14285,14573,25467,44,bottle,kitchen
6431,10710,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,6431,False,True,True,121,3777,4082,121,3777,4082,121,3777,4082,121,3777,4082,121,3777,4082,121,3777,4082,121,3777,4082,121,3777,4082,1,person,person
6444,272901,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,6444,False,True,True,8358,8640,18412,8358,8640,18412,8358,8640,18412,8358,8640,18412,8358,8640,18412,8358,8640,18412,8358,8640,18412,8358,8640,18412,1,person,person
6489,10903,train2017,"(0.125, 0.125, 0, 0)",0.0,6489,False,True,True,12796,18407,19047,12796,18407,19047,12796,18407,19047,12796,18407,19047,12796,18407,19047,12796,18407,19047,12796,18407,19047,12796,18407,19047,62,chair,furniture
6514,273120,train2017,"(0, 0, 0.1078125, 0.1078125)",0.0,6514,False,True,True,13543,19340,26142,13543,19340,26142,13543,19340,26142,13543,19340,26142,13543,19340,26142,13543,19340,26142,13543,19340,26142,13543,19340,26142,1,person,person
6521,273138,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0833333333333333,6521,False,True,True,3131,3218,12342,3131,3218,12342,3131,3218,12342,3131,3218,12342,3131,3218,12342,3131,3218,12342,3131,3218,12342,3131,3218,12342,50,spoon,kitchen
6524,273147,train2017,"(0, 0.334375, 0, 0)",0.0,6524,False,True,True,25190,25282,25295,25190,25282,25295,25190,25282,25295,25190,25282,25295,25190,25282,25295,25190,25282,25295,25190,25282,25295,25190,25282,25295,1,person,person
6558,273250,train2017,"(0, 0.3328125, 0, 0)",0.0,6558,False,True,True,268,440,22887,268,440,22887,268,440,22887,268,440,22887,268,440,22887,268,440,22887,268,440,22887,268,440,22887,1,person,person
6640,11358,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,6640,False,True,True,28048,28189,28241,28048,28189,28241,28048,28189,28241,28048,28189,28241,28048,28189,28241,28048,28189,28241,28048,28189,28241,28048,28189,28241,1,person,person
6713,535871,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,6713,False,True,True,11468,22685,23017,11468,22685,23017,11468,22685,23017,11468,22685,23017,11468,22685,23017,11468,22685,23017,11468,22685,23017,11468,22685,23017,1,person,person
6801,11856,train2017,"(0, 0, 0.15, 0.15)",0.0,6801,False,True,True,8785,9214,20502,8785,9214,20502,8785,9214,20502,8785,9214,20502,8785,9214,20502,8785,9214,20502,8785,9214,20502,8785,9214,20502,1,person,person
7007,536786,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,7007,False,True,True,12821,17796,20286,12821,17796,20286,12821,17796,20286,12821,17796,20286,12821,17796,20286,12821,17796,20286,12821,17796,20286,12821,17796,20286,24,zebra,animal
7039,536884,train2017,"(0.165625, 0.165625, 0, 0)",0.0,7039,False,True,True,10024,10047,10920,10024,10047,10920,10024,10047,10920,10024,10047,10920,10024,10047,10920,10024,10047,10920,10024,10047,10920,10024,10047,10920,11,fire hydrant,outdoor
7120,274978,train2017,"(0, 0, 0.14921875, 0.14921875)",0.0,7120,False,True,True,13436,18030,18387,13436,18030,18387,13436,18030,18387,13436,18030,18387,13436,18030,18387,13436,18030,18387,13436,18030,18387,13436,18030,18387,1,person,person
7207,537393,train2017,"(0.125, 0.125, 0, 0)",0.0,7207,False,True,True,1347,1593,22222,1347,1593,22222,1347,1593,22222,1347,1593,22222,1347,1593,22222,1347,1593,22222,1347,1593,22222,1347,1593,22222,25,giraffe,animal
7336,275663,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,7336,False,True,True,1120,25417,25561,1120,25417,25561,1120,25417,25561,1120,25417,25561,1120,25417,25561,1120,25417,25561,1120,25417,25561,1120,25417,25561,56,broccoli,food
7366,399878,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,7366,False,True,True,9144,9539,9722,9144,9539,9722,9144,9539,9722,9144,9539,9722,9144,9539,9722,9144,9539,9722,9144,9539,9722,9144,9539,9722,1,person,person
7409,275902,train2017,"(0, 0, 0.125, 0.125)",0.0,7409,False,True,True,11095,21250,29027,11095,21250,29027,11095,21250,29027,11095,21250,29027,11095,21250,29027,11095,21250,29027,11095,21250,29027,11095,21250,29027,7,train,vehicle
7418,275938,train2017,"(0, 0.25, 0, 0)",0.0,7418,False,True,True,11084,11253,22749,11084,11253,22749,11084,11253,22749,11084,11253,22749,11084,11253,22749,11084,11253,22749,11084,11253,22749,11084,11253,22749,1,person,person
7480,13969,train2017,"(0, 0, 0.16484375, 0.16484375)",0.1428571428571428,7480,False,True,True,14774,15362,28271,14774,15362,28271,14774,15362,28271,14774,15362,28271,14774,15362,28271,14774,15362,28271,14774,15362,28271,14774,15362,28271,1,person,person
7654,276664,train2017,"(0, 0, 0.165625, 0.165625)",0.0,7654,False,True,True,3080,11861,12131,3080,11861,12131,3080,11861,12131,3080,11861,12131,3080,11861,12131,3080,11861,12131,3080,11861,12131,3080,11861,12131,9,boat,vehicle
7659,538822,train2017,"(0, 0, 0.13046875, 0.13046875)",0.0,7659,False,True,True,167,23639,25666,167,23639,25666,167,23639,25666,167,23639,25666,167,23639,25666,167,23639,25666,167,23639,25666,167,23639,25666,1,person,person
7840,539340,train2017,"(0.125, 0.125, 0, 0)",0.0,7840,False,True,True,1394,1719,15358,1394,1719,15358,1394,1719,15358,1394,1719,15358,1394,1719,15358,1394,1719,15358,1394,1719,15358,1394,1719,15358,88,teddy bear,indoor
7859,539395,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,7859,False,True,True,1178,2573,18989,1178,2573,18989,1178,2573,18989,1178,2573,18989,1178,2573,18989,1178,2573,18989,1178,2573,18989,1178,2573,18989,7,train,vehicle
7944,277524,train2017,"(0.165625, 0.165625, 0, 0)",0.0,7944,False,True,True,2700,18453,18475,2700,18453,18475,2700,18453,18475,2700,18453,18475,2700,18453,18475,2700,18453,18475,2700,18453,18475,2700,18453,18475,25,giraffe,animal
7948,570543,train2017,"(0, 0, 0.125, 0.125)",0.0,7948,False,True,True,18266,18403,23383,18266,18403,23383,18266,18403,23383,18266,18403,23383,18266,18403,23383,18266,18403,23383,18266,18403,23383,18266,18403,23383,1,person,person
7954,539705,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,7954,False,True,True,13634,21348,23672,13634,21348,23672,13634,21348,23672,13634,21348,23672,13634,21348,23672,13634,21348,23672,13634,21348,23672,13634,21348,23672,9,boat,vehicle
8006,539879,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,8006,False,True,True,809,6274,11985,809,6274,11985,809,6274,11985,809,6274,11985,809,6274,11985,809,6274,11985,809,6274,11985,809,6274,11985,1,person,person
8109,300383,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,8109,False,True,True,1197,1650,1725,1197,1650,1725,1197,1650,1725,1197,1650,1725,1197,1650,1725,1197,1650,1725,1197,1650,1725,1197,1650,1725,1,person,person
8204,540538,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,8204,False,True,True,16540,17831,29666,16540,17831,29666,16540,17831,29666,16540,17831,29666,16540,17831,29666,16540,17831,29666,16540,17831,29666,16540,17831,29666,18,dog,animal
8225,16314,train2017,"(0, 0, 0.16328125, 0.16328125)",0.0,8225,False,True,True,18046,18174,18186,18046,18174,18186,18046,18174,18186,18046,18174,18186,18046,18174,18186,18046,18174,18186,18046,18174,18186,18046,18174,18186,1,person,person
8262,278555,train2017,"(0, 0, 0.16484375, 0.16484375)",0.0,8262,False,True,True,5001,25234,25742,5001,25234,25742,5001,25234,25742,5001,25234,25742,5001,25234,25742,5001,25234,25742,5001,25234,25742,5001,25234,25742,1,person,person
8274,540735,train2017,"(0, 0, 0.12421875, 0.12421875)",0.1,8274,False,True,True,21958,22575,25514,21958,22575,25514,21958,22575,25514,21958,22575,25514,21958,22575,25514,21958,22575,25514,21958,22575,25514,21958,22575,25514,21,cow,animal
8318,278714,train2017,"(0, 0, 0.165625, 0.165625)",0.0833333333333333,8318,False,True,True,28403,28706,28832,28403,28706,28832,28403,28706,28832,28403,28706,28832,28403,28706,28832,28403,28706,28832,28403,28706,28832,28403,28706,28832,63,couch,furniture
8387,541077,train2017,"(0, 0, 0.125, 0.125)",0.0,8387,False,True,True,11171,22189,22608,11171,22189,22608,11171,22189,22608,11171,22189,22608,11171,22189,22608,11171,22189,22608,11171,22189,22608,11171,22189,22608,1,person,person
8394,278962,train2017,"(0, 0, 0.125, 0.125)",0.0,8394,False,True,True,6875,7104,21676,6875,7104,21676,6875,7104,21676,6875,7104,21676,6875,7104,21676,6875,7104,21676,6875,7104,21676,6875,7104,21676,59,pizza,food
8415,16898,train2017,"(0.125, 0.125, 0, 0)",0.0,8415,False,True,True,4680,12662,28672,4680,12662,28672,4680,12662,28672,4680,12662,28672,4680,12662,28672,4680,12662,28672,4680,12662,28672,4680,12662,28672,85,clock,indoor
8435,541258,train2017,"(0.1578125, 0.1578125, 0, 0)",0.0,8435,False,True,True,13824,13889,28545,13824,13889,28545,13824,13889,28545,13824,13889,28545,13824,13889,28545,13824,13889,28545,13824,13889,28545,13824,13889,28545,47,cup,kitchen
8465,279197,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,8465,False,True,True,16896,19586,28001,16896,19586,28001,16896,19586,28001,16896,19586,28001,16896,19586,28001,16896,19586,28001,16896,19586,28001,16896,19586,28001,1,person,person
8509,541472,train2017,"(0, 0, 0.165625, 0.165625)",0.0,8509,False,True,True,11978,15232,20131,11978,15232,20131,11978,15232,20131,11978,15232,20131,11978,15232,20131,11978,15232,20131,11978,15232,20131,11978,15232,20131,52,banana,food
8631,271183,train2017,"(0, 0, 0.14140625, 0.14140625)",0.0,8631,False,True,True,21171,27523,27545,21171,27523,27545,21171,27523,27545,21171,27523,27545,21171,27523,27545,21171,27523,27545,21171,27523,27545,21171,27523,27545,1,person,person
8646,541856,train2017,"(0.00859375, 0.00859375, 0, 0)",0.0,8646,False,True,True,15410,15578,17952,15410,15578,17952,15410,15578,17952,15410,15578,17952,15410,15578,17952,15410,15578,17952,15410,15578,17952,15410,15578,17952,44,bottle,kitchen
8807,17967,train2017,"(0, 0, 0.125, 0.125)",0.064516129032258,8807,False,True,True,1996,4178,4947,1996,4178,4947,1996,4178,4947,1996,4178,4947,1996,4178,4947,1996,4178,4947,1996,4178,4947,1996,4178,4947,1,person,person
8843,18078,train2017,"(0.16640625, 0.16640625, 0, 0)",0.0,8843,False,True,True,9490,9966,23123,9490,9966,23123,9490,9966,23123,9490,9966,23123,9490,9966,23123,9490,9966,23123,9490,9966,23123,9490,9966,23123,85,clock,indoor
8925,280484,train2017,"(0, 0, 0.125, 0.125)",0.0,8925,False,True,True,20013,28253,29183,20013,28253,29183,20013,28253,29183,20013,28253,29183,20013,28253,29183,20013,28253,29183,20013,28253,29183,20013,28253,29183,1,person,person
8933,18367,train2017,"(0, 0.25, 0, 0)",0.0,8933,False,True,True,1339,16171,20362,1339,16171,20362,1339,16171,20362,1339,16171,20362,1339,16171,20362,1339,16171,20362,1339,16171,20362,1339,16171,20362,1,person,person
9027,280764,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,9027,False,True,True,926,16409,19988,926,16409,19988,926,16409,19988,926,16409,19988,926,16409,19988,926,16409,19988,926,16409,19988,926,16409,19988,1,person,person
9048,280808,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,9048,False,True,True,881,1278,1416,881,1278,1416,881,1278,1416,881,1278,1416,881,1278,1416,881,1278,1416,881,1278,1416,881,1278,1416,70,toilet,furniture
9147,543254,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,9147,False,True,True,2157,2188,2304,2157,2188,2304,2157,2188,2304,2157,2188,2304,2157,2188,2304,2157,2188,2304,2157,2188,2304,2157,2188,2304,16,bird,animal
9230,281330,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,9230,False,True,True,870,21703,27802,870,21703,27802,870,21703,27802,870,21703,27802,870,21703,27802,870,21703,27802,870,21703,27802,870,21703,27802,9,boat,vehicle
9434,544060,train2017,"(0, 0, 0.16640625, 0.16640625)",0.0,9434,False,True,True,1491,1596,12490,1491,1596,12490,1491,1596,12490,1491,1596,12490,1491,1596,12490,1491,1596,12490,1491,1596,12490,1491,1596,12490,1,person,person
9462,19863,train2017,"(0, 0, 0.1671875, 0.1671875)",0.0,9462,False,True,True,11130,26159,28782,11130,26159,28782,11130,26159,28782,11130,26159,28782,11130,26159,28782,11130,26159,28782,11130,26159,28782,11130,26159,28782,7,train,vehicle
